Policy Number,Policy Status,Age,Gender,Home Language,Family Status,Gross Household Income,Gross Income,Monthly Premium Original,Monthly Premium,Dfference between Household and Personal Income,Salary Day,Debit order day,Education,Occupation,Province,Postal Code,Policy Affordability %,Policy Affordability % Band,Response Outcome,Take Up Outcome,Contract Status,Collection Count
27,Installed,29,Female,Xhosa,Married,31000,21000,291,167,10000,15,15,Postgraduate,Medical Technician,Western Cape,0,0.005,0 - 1.5%,1,1,1,11
28,Installed,43,Female,English,Widowed,19000,19000,233,105,0,15,15,Degree,Teacher of English,Western Cape,7405,0.006,0 - 1.5%,1,1,1,11
29,Installed,35,Male,Setswana,Married,25000,25000,208,187,0,28,18,Diploma,Mineworker - Mining,Gauteng,0,0.008,0 - 1.5%,1,1,1,12
30,Cancelled,23,Female,English,Single,15000,15000,0,0,0,25,28,Matric,Sales Consultant,Western Cape,7785,0.025,1.5 - 2.5%,1,0,0,0
31,Cancelled,39,Male,Afrikaans,Single,15000,15000,0,0,0,31,3,Matric,Prison Warder,Northern Cape,0,0.015,1.5 - 2.5%,1,1,0,5
32,Installed,45,Male,English,Married,40400,40400,182,153,0,15,15,Degree,Call Centre Manager,Western Cape,0,0.004,0 - 1.5%,1,1,1,11
33,Installed,34,Male,Setswana,Married,28500,16200,104,99,12300,31,27,Diploma,Technician,Gauteng,1830,0.004,0 - 1.5%,1,1,1,9
34,Installed,30,Male,Afrikaans,Married,16000,10000,238,128,6000,25,30,Diploma,Mechanic,Western Cape,7100,0.008,0 - 1.5%,1,1,1,11
35,Cancelled,34,Male,English,Married,28000,23000,0,0,5000,27,27,Matric,chemical plant operative,Western Cape,7349,0.003,0 - 1.5%,1,0,0,0
36,Installed,55,Male,Tsonga,Married,15000,9746,162,132,5254,25,25,Matric,General Manager,Mpumalanga,0,0.009,0 - 1.5%,1,1,1,10
37,Cancelled,39,Male,Setswana,Single,18000,18000,0,0,0,25,26,Degree,Technician,North West,0,0.009,0 - 1.5%,1,1,0,4
38,Installed,36,Male,Setswana,Married,26000,14000,113,79,12000,25,25,Matric,Data Processing Clerk,North West,0,0.003,0 - 1.5%,1,1,1,10
39,Installed,39,Female,Sotho,Married,25000,12000,276,189,13000,30,30,Matric,Lieutenant,Gauteng,0,0.008,0 - 1.5%,1,1,1,10
40,Cancelled,34,Female,Xhosa,Single,14900,14900,0,0,0,20,21,Degree,Schoolteacher,Eastern Cape,5500,0.008,0 - 1.5%,1,1,0,3
41,Installed,41,Male,Xhosa,Married,15000,15000,2361,966,0,1,15,Matric,Executive Officer/Director - Civil Service,Northern Cape,7090,0.064,5% +,1,1,1,11
42,Installed,43,Male,Afrikaans,Divorced,40000,40000,248,201,0,1,15,Certificate,Director,Gauteng,0,0.005,0 - 1.5%,1,1,1,11
43,Cancelled,37,Male,Zulu,Single,36000,36000,0,0,0,20,20,Degree,Area Manager,Western Cape,0,0.008,0 - 1.5%,1,1,0,3
44,Installed,37,Male,Xhosa,Married,38500,36000,441,312,2500,28,28,Diploma,Human Resources Manager,Gauteng,0,0.008,0 - 1.5%,1,1,1,10
45,Installed,33,Male,Swati,Single,3600,3600,166,133,0,25,1,No Matric,Paving Mason,Mpumalanga,0,0.037,2.5 - 5%,1,1,1,9
46,Installed,48,Male,Setswana,Married,74000,74000,350,254,0,20,30,Degree,Consultant,Gauteng,0,0.003,0 - 1.5%,1,1,1,10
47,Installed,46,Male,Xhosa,Married,55000,55000,350,285,0,31,25,Postgraduate,Financial Manager,Gauteng,0,0.005,0 - 1.5%,1,1,1,10
48,Installed,40,Female,Sotho,Single,7600,7000,271,216,600,15,16,Certificate,Paramedic - Driver,Free State,9932,0.028,2.5 - 5%,1,1,1,10
49,Cancelled,39,Male,English,Married,22000,9500,0,0,12500,27,27,No Matric,Process Controller,Western Cape,7785,0.018,1.5 - 2.5%,1,1,0,4
50,Installed,39,Male,Zulu,Single,15500,15500,250,194,0,25,25,No Matric,Technical Inspector,Mpumalanga,0,0.013,0 - 1.5%,1,1,1,10
51,Installed,54,Female,Xhosa,Single,30000,30000,203,137,0,15,16,Postgraduate,Teacher,KwaZulu-Natal,0,0.005,0 - 1.5%,1,1,1,11
52,Installed,37,Male,Setswana,Single,38000,38000,395,223,0,25,25,Matric,Process Controller,Northern Cape,8345,0.006,0 - 1.5%,1,1,1,8
53,Installed,43,Female,Xhosa,Married,100000,44000,600,357,56000,25,27,Diploma,Broker,Gauteng,0,0.004,0 - 1.5%,1,1,1,10
54,Installed,30,Male,Xhosa,Single,15000,15000,133,112,0,15,15,Matric,Account Clerk,Western Cape,0,0.008,0 - 1.5%,1,1,1,11
55,Installed,31,Male,Tsonga,Married,12000,12000,116,182,0,31,1,Postgraduate,Town Planner,Gauteng,2091,0.014,0 - 1.5%,1,1,1,15
56,Installed,33,Female,Setswana,Married,118583,48583,147,104,70000,25,25,Degree,Project Manager,Northern Cape,0,0.001,0 - 1.5%,1,1,1,10
57,Installed,43,Male,Tsonga,Single,10800,7300,248,179,3500,31,25,No Matric,Maintenance Team Leader,Limpopo,0,0.017,1.5 - 2.5%,1,1,1,10
58,Cancelled,55,Male,Venda,Married,15000,7500,0,0,7500,30,7,No Matric,Director,Limpopo,960,0.054,5% +,1,1,0,1
59,Installed,50,Female,Setswana,Married,17000,12000,200,117,5000,26,26,Diploma,Teacher,North West,8566,0.007,0 - 1.5%,1,1,1,10
60,Cancelled,42,Female,Sepedi,Married,12300,12300,0,0,0,31,25,Diploma,Admin Clerk,Limpopo,1389,0.01,0 - 1.5%,1,0,0,0
61,Installed,41,Female,Afrikaans,Married,25439,19239,284,232,6200,31,25,Degree,Administrator,Gauteng,0,0.009,0 - 1.5%,1,1,1,10
62,Cancelled,42,Female,Xhosa,Single,15000,15000,0,0,0,15,15,Diploma,Admin Clerk,Eastern Cape,6140,0.01,0 - 1.5%,1,1,0,4
63,Cancelled,32,Male,Venda,Single,64000,64000,0,0,0,30,30,Degree,Planning/Production Engineer,Mpumalanga,0,0.005,0 - 1.5%,1,1,0,2
64,Installed,36,Female,Sotho,Married,18000,3000,134,102,15000,28,28,Diploma,Customer Service Worker,Gauteng,0,0.006,0 - 1.5%,1,1,1,10
65,Installed,37,Female,English,Married,10481,10481,196,199,0,26,26,Matric,Floor Manager,Gauteng,1724,0.018,1.5 - 2.5%,1,1,1,15
66,Cancelled,30,Female,Xhosa,Single,1980,1980,0,0,0,31,1,No Matric,Unemployed,Eastern Cape,6211,0.09,5% +,1,0,0,0
67,Cancelled,41,Female,English,Single,8200,8200,0,0,0,25,30,Diploma,Medical Receptionist,KwaZulu-Natal,0,0.015,0 - 1.5%,1,0,0,0
68,Cancelled,50,Male,Venda,Married,30000,30000,0,0,0,22,22,Degree,Teacher,Limpopo,0,0.017,1.5 - 2.5%,1,1,0,3
69,Cancelled,41,Male,Xhosa,Married,10000,10000,0,0,0,15,15,Matric,buffer,Eastern Cape,7750,0.022,1.5 - 2.5%,1,1,0,1
70,Cancelled,25,Female,Tsonga,Married,35000,3900,0,0,31100,30,1,Certificate,Machine Operator,Gauteng,0,0.003,0 - 1.5%,1,1,0,2
71,Installed,65,Male,Afrikaans,Married,15000,15000,555,235,0,28,29,Matric,Builder,Western Cape,0,0.015,0 - 1.5%,1,1,1,15
72,Installed,46,Male,Sotho,Married,17100,15000,140,113,2100,23,24,No Matric,Coal Miner,Mpumalanga,9300,0.024,1.5 - 2.5%,1,1,1,15
73,Installed,32,Male,Zulu,Single,15000,15000,134,108,0,31,25,Matric,Accounts Manager,KwaZulu-Natal,4359,0.007,0 - 1.5%,1,1,1,15
74,Cancelled,51,Female,Xhosa,Single,22000,22000,0,0,0,15,15,Diploma,Nurse,Western Cape,6850,0.006,0 - 1.5%,1,1,0,13
75,Cancelled,42,Male,Zulu,Single,5000,5000,0,0,0,31,1,No Matric,Open Cast Worker,North West,325,0.045,2.5 - 5%,1,0,0,0
76,Cancelled,50,Female,Setswana,Single,8000,8000,0,0,0,31,8,Diploma,Employment Agent,North West,0,0.015,1.5 - 2.5%,1,0,0,0
77,Cancelled,30,Female,Sotho,Married,44000,14766,0,0,29234,25,25,Matric,Finance Clerk,Gauteng,0,0.002,0 - 1.5%,1,1,0,13
78,Cancelled,31,Male,Xhosa,Single,16000,16000,0,0,0,31,1,Diploma,Resident Engineer,Limpopo,157,0.011,0 - 1.5%,1,1,0,2
79,Cancelled,45,Male,Sotho,Married,7500,7500,0,0,0,25,25,Matric,Catering Manager,Northern Cape,0,0.017,1.5 - 2.5%,1,1,0,1
80,Installed,45,Female,Sotho,Divorced,23097,23097,270,136,0,22,31,Degree,College Lecturer,Mpumalanga,0,0.006,0 - 1.5%,1,1,1,15
81,Cancelled,27,Male,Xhosa,Single,21000,21000,0,0,0,25,25,Diploma,Quantity Surveyor,Free State,1947,0.005,0 - 1.5%,1,1,0,3
82,Installed,56,Female,English,Married,40000,2000,379,130,38000,30,1,No Matric,Unemployed,Gauteng,1876,0.003,0 - 1.5%,1,1,1,15
83,Cancelled,41,Male,Xhosa,Married,16000,8000,0,0,8000,15,1,Certificate,Machine Operator,Eastern Cape,6201,0.006,0 - 1.5%,1,1,0,4
84,Cancelled,45,Female,Sotho,Divorced,23000,23000,0,0,0,31,31,Degree,School Teacher,Free State,0,0.006,0 - 1.5%,1,1,0,1
85,Installed,56,Male,Setswana,Married,36330,36330,500,289,0,25,25,Certificate,Miner,Northern Cape,0,0.017,1.5 - 2.5%,1,1,1,15
86,Cancelled,33,Male,Sotho,Married,5900,5900,0,0,0,19,20,Certificate,Miner,Free State,0,0.021,1.5 - 2.5%,1,0,0,0
87,Cancelled,51,Male,Zulu,Married,10000,7500,0,0,2500,29,30,No Matric,Driver,Gauteng,2090,0.014,0 - 1.5%,1,1,0,1
88,Installed,40,Male,Sotho,Married,6900,6900,0,0,0,28,28,Certificate,Sports Development Officer,Gauteng,0,0.018,1.5 - 2.5%,1,1,1,1
89,Cancelled,38,Male,Zulu,Married,20980,20980,0,0,0,25,25,Diploma,Electrical Engineer,KwaZulu-Natal,4066,0.017,1.5 - 2.5%,1,1,0,4
90,Cancelled,42,Male,Zulu,Married,46000,20000,0,0,26000,23,25,Matric,Chemical Process Operator,Free State,0,0.009,0 - 1.5%,1,1,0,7
91,Cancelled,32,Male,Sepedi,Single,3800,3800,0,0,0,5,1,Certificate,Health and Safety Officer,Limpopo,0,0.033,2.5 - 5%,1,1,0,2
92,Cancelled,31,Male,Xhosa,Single,25000,25000,0,0,0,25,25,Matric,Process Controller,Mpumalanga,0,0.006,0 - 1.5%,1,1,0,11
93,Cancelled,58,Female,Sepedi,Married,40000,40000,0,0,0,22,22,Postgraduate,Principal,Gauteng,0,0.004,0 - 1.5%,1,1,0,1
94,Cancelled,49,Male,IsisNdebele,Married,38000,18000,0,0,20000,31,31,Matric,SAPS - Inspector,Mpumalanga,458,0.01,0 - 1.5%,1,1,0,5
95,Installed,37,Female,Setswana,Single,22600,22600,200,121,0,25,1,Degree,Factory Supervisor,Gauteng,0,0.005,0 - 1.5%,1,1,1,14
96,Installed,41,Male,Xhosa,Single,80000,80000,226,122,0,15,31,Matric,Manager/Owner,Eastern Cape,5380,0.004,0 - 1.5%,1,1,1,15
97,Cancelled,49,Male,Sotho,Married,29000,29000,0,0,0,25,25,Degree,Teacher,North West,0,0.004,0 - 1.5%,1,0,0,0
98,Cancelled,49,Female,Sotho,Married,13000,5200,0,0,7800,15,15,No Matric,Chef/Cook - Head,Free State,0,0.008,0 - 1.5%,1,1,0,1
99,Cancelled,43,Female,Zulu,Single,3500,3500,0,0,0,5,5,Diploma,Shop Owner,Gauteng,0,0.036,2.5 - 5%,1,0,0,0
100,Cancelled,28,Male,Zulu,Single,28000,28000,0,0,0,25,27,Diploma,Quantity Surveyor,Gauteng,1020,0.016,1.5 - 2.5%,1,1,0,3
101,Cancelled,33,Male,Tsonga,Married,14000,14000,0,0,0,27,27,No Matric,Crane Driver,Gauteng,2004,0.029,2.5 - 5%,1,0,0,0
102,Cancelled,43,Male,Swati,Married,5800,4200,0,0,1600,25,31,No Matric,Mineworker - Mining,Mpumalanga,1340,0.023,1.5 - 2.5%,1,0,0,0
103,Cancelled,30,Male,Zulu,Married,3000,3000,0,0,0,31,1,Certificate,Events Organising Assistant/Manager,KwaZulu-Natal,0,0.042,2.5 - 5%,1,0,0,0
104,Cancelled,32,Male,Zulu,Single,3700,3700,0,0,0,31,31,Matric,Security Officer,KwaZulu-Natal,0,0.029,2.5 - 5%,1,1,0,1
105,Cancelled,49,Male,Xhosa,Married,10500,7500,0,0,3000,31,31,Matric,Leader,Eastern Cape,5120,0.025,1.5 - 2.5%,1,1,0,8
106,Installed,55,Male,Setswana,Married,30000,20000,636,386,10000,25,13,Degree,Manager/Owner,North West,0,0.012,0 - 1.5%,1,1,1,12
107,Cancelled,30,Male,Xhosa,Single,5000,5000,0,0,0,31,30,Matric,Loans Assistant,North West,299,0.041,2.5 - 5%,1,0,0,0
108,Installed,45,Female,Zulu,Married,24189,24189,300,165,0,31,31,Diploma,Registered Nurse,Free State,0,0.006,0 - 1.5%,1,1,1,13
109,Cancelled,30,Female,Xhosa,Single,12000,12000,0,0,0,15,15,Matric,Senior Personnel Officer,Gauteng,1928,0.01,0 - 1.5%,1,1,0,7
110,Cancelled,52,Female,Xhosa,Single,30000,30000,0,0,0,20,4,Matric,Shebeen Owner - Licensed,Eastern Cape,0,0.097,5% +,1,0,0,0
111,Installed,54,Male,Sotho,Married,35000,28000,221,172,7000,15,15,Degree,Education Officer,Mpumalanga,1190,0.005,0 - 1.5%,1,1,1,16
112,Cancelled,39,Male,Tsonga,Single,10000,10000,0,0,0,25,26,Diploma,Clerk,Mpumalanga,1300,0.011,0 - 1.5%,1,1,0,1
113,Cancelled,45,Female,English,Single,18500,18500,0,0,0,26,27,Diploma,Nurse,Gauteng,1709,0.011,0 - 1.5%,1,0,0,0
114,Cancelled,46,Male,Zulu,Married,23000,16000,0,0,7000,31,1,Matric,Project Co- Ordinator,Gauteng,0,0.022,1.5 - 2.5%,1,0,0,0
115,Installed,40,Female,Zulu,Single,8441,8441,0,0,0,1,1,Matric,Customer Services Clerk,Gauteng,1984,0.014,0 - 1.5%,1,0,1,0
116,Cancelled,48,Male,Swati,Divorced,22000,22000,0,0,0,31,31,Matric,Police Officer,Northern Cape,0,0.015,1.5 - 2.5%,1,0,0,0
117,Cancelled,45,Male,Sotho,Married,26100,18500,0,0,7600,31,18,No Matric,Machine Operator,Gauteng,0,0.008,0 - 1.5%,1,1,0,2
118,Cancelled,45,Male,Zulu,Single,9434,9434,0,0,0,31,1,Diploma,Admin Clerk,KwaZulu-Natal,3935,0.013,0 - 1.5%,1,1,0,1
119,Cancelled,38,Male,Zulu,Married,7500,7500,0,0,0,26,25,No Matric,Section Leader,KwaZulu-Natal,3372,0.017,1.5 - 2.5%,1,1,0,1
120,Cancelled,37,Male,Xhosa,Married,31000,22000,0,0,9000,4,1,Certificate,Safety Training Consultant,KwaZulu-Natal,0,0.023,1.5 - 2.5%,1,1,0,3
121,Cancelled,36,Male,English,Single,13500,13500,0,0,0,31,31,Diploma,Retail Manager,Gauteng,0,0.014,0 - 1.5%,1,1,0,6
122,Cancelled,39,Female,Xhosa,Single,7100,7100,0,0,0,31,1,No Matric,Cleaner,Eastern Cape,4730,0.027,2.5 - 5%,1,1,0,6
123,Cancelled,43,Female,Sotho,Divorced,51170,51170,0,0,0,31,27,Diploma,Fashion Store Manager,Gauteng,0,0.003,0 - 1.5%,1,0,0,0
124,Cancelled,45,Female,Afrikaans,Married,6000,1500,0,0,4500,1,1,Matric,General Assistant,Western Cape,0,0.05,2.5 - 5%,1,0,0,0
125,Cancelled,56,Female,Xhosa,Single,21000,21000,0,0,0,20,20,Postgraduate,Teacher,Eastern Cape,6139,0.018,1.5 - 2.5%,1,1,0,3
126,Installed,42,Female,Sotho,Married,15000,15000,270,162,0,25,22,Postgraduate,School Teacher,Mpumalanga,0,0.01,0 - 1.5%,1,1,1,14
127,Installed,58,Female,Afrikaans,Married,35000,7000,281,151,28000,31,1,Certificate,Administrative Clerk,Mpumalanga,0,0.004,0 - 1.5%,1,1,1,15
128,Cancelled,28,Male,Setswana,Single,3000,3000,0,0,0,31,31,Matric,air conditioning installer,Northern Cape,0,0.06,5% +,1,1,0,2
129,Installed,28,Male,Setswana,Single,1200,1200,222,116,0,31,11,No Matric,Gardener,North West,0,0.091,5% +,1,1,1,16
130,Installed,38,Female,Afrikaans,Single,11000,11000,135,100,0,31,31,Matric,Admin Clerk,Northern Cape,9795,0.009,0 - 1.5%,1,1,1,11
131,Installed,56,Female,Xhosa,Divorced,75080,75080,677,398,0,31,1,Degree,Radiologist,Gauteng,0,0.005,0 - 1.5%,1,1,1,14
132,Cancelled,52,Female,Zulu,Single,56000,40000,0,0,16000,5,6,Diploma,Administrator,KwaZulu-Natal,0,0.004,0 - 1.5%,1,1,0,1
133,Cancelled,49,Male,Zulu,Married,51000,31000,0,0,20000,25,25,Certificate,Human Resources Manager,KwaZulu-Natal,0,0.007,0 - 1.5%,1,1,0,11
134,Installed,45,Male,Setswana,Married,4500,4500,182,144,0,3,31,Matric,carpenter,North West,0,0.03,2.5 - 5%,1,1,1,13
135,Installed,44,Male,Xhosa,Married,46000,26300,139,144,19700,31,20,Postgraduate,Teacher,Eastern Cape,4700,0.003,0 - 1.5%,1,1,1,16
136,Installed,39,Male,Tsonga,Single,15000,15000,139,126,0,25,26,No Matric,Technician,Limpopo,1245,0.017,1.5 - 2.5%,1,1,1,13
137,Installed,32,Male,Afrikaans,Married,8000,8000,129,80,0,25,25,Matric,Supervisor,Eastern Cape,6690,0.009,0 - 1.5%,1,1,1,13
138,Cancelled,32,Female,Xhosa,Single,5000,5000,0,0,0,31,31,Diploma,Teacher,Eastern Cape,5040,0.02,1.5 - 2.5%,1,1,0,1
139,Cancelled,38,Female,Xhosa,Single,6000,6000,0,0,0,15,15,Diploma,Cleaner,Western Cape,7280,0.017,1.5 - 2.5%,1,0,0,0
140,Cancelled,42,Male,Zulu,Married,21000,18000,0,0,3000,25,25,Matric,"Truck Driver - Heavy Duty, Long Distance in SA",Gauteng,2198,0.006,0 - 1.5%,1,1,0,7
141,Installed,29,Female,Afrikaans,Single,14300,14300,184,139,0,1,15,Diploma,Nurse,Eastern Cape,0,0.009,0 - 1.5%,1,1,1,16
142,Installed,52,Male,Setswana,Married,17000,17000,287,208,0,10,26,No Matric,Supervisor,North West,0,0.009,0 - 1.5%,1,1,1,14
143,Cancelled,44,Male,Afrikaans,Divorced,7500,7500,0,0,0,31,1,No Matric,"Truck Driver - Heavy Duty, Local/Regional Only",Western Cape,0,0.018,1.5 - 2.5%,1,1,0,5
144,Installed,37,Male,English,Single,4100,4100,206,202,0,31,31,No Matric,"Truck Driver - Heavy Duty, Local/Regional Only",KwaZulu-Natal,3370,0.047,2.5 - 5%,1,1,1,14
145,Cancelled,49,Female,Xhosa,Single,17000,17000,0,0,0,31,15,Postgraduate,Teacher,KwaZulu-Natal,0,0.006,0 - 1.5%,1,1,0,3
146,Cancelled,30,Female,Tsonga,Divorced,18000,18000,0,0,0,26,26,Certificate,Work Co Ordinator,Mpumalanga,1035,0.007,0 - 1.5%,1,1,0,3
147,Cancelled,52,Male,Sepedi,Married,15000,6000,0,0,9000,7,7,Matric,Debt Collector,Limpopo,0,0.009,0 - 1.5%,1,1,0,1
148,Installed,48,Male,Tsonga,Married,13000,13000,0,0,0,25,25,No Matric,Mine Worker,Limpopo,885,0.01,0 - 1.5%,1,1,1,6
149,Cancelled,36,Female,Sepedi,Married,6000,6000,0,0,0,28,28,Matric,Financial Adviser,Gauteng,0,0.02,1.5 - 2.5%,1,0,0,0
150,Cancelled,42,Male,Xhosa,Married,38000,25000,0,0,13000,31,1,Certificate,Health and Safety Officer,Free State,9992,0.008,0 - 1.5%,1,0,0,0
151,Cancelled,45,Female,Setswana,Married,39000,19000,0,0,20000,15,15,Degree,Social Worker,Gauteng,0,0.004,0 - 1.5%,1,1,0,1
152,Installed,33,Male,Sotho,Married,35000,35000,212,187,0,25,1,Diploma,Supervisor - Oil Rig,Free State,0,0.005,0 - 1.5%,1,1,1,14
153,Installed,32,Male,Xhosa,Single,25041,25041,372,333,0,3,3,Diploma,Project Manager,Eastern Cape,0,0.013,0 - 1.5%,1,1,1,16
154,Cancelled,46,Male,Xhosa,Married,14000,14000,0,0,0,27,28,Matric,Security Officer,Gauteng,0,0.015,1.5 - 2.5%,1,0,0,0
155,Cancelled,30,Male,Zulu,Single,5000,5000,0,0,0,31,15,Matric,Spot Welder,KwaZulu-Natal,1852,0.04,2.5 - 5%,1,0,0,0
156,Cancelled,50,Female,Sotho,Single,3000,3000,0,0,0,31,1,Matric,Admin Clerk,Gauteng,1575,0.039,2.5 - 5%,1,1,0,1
157,Installed,37,Male,IsisNdebele,Married,5500,3000,148,131,2500,7,5,Matric,carpenter,Mpumalanga,0,0.023,1.5 - 2.5%,1,1,1,14
158,Installed,52,Male,English,Single,21666,21666,189,145,0,1,30,Matric,"Truck Driver - Heavy Duty, Long Distance in SA",Western Cape,1459,0.02,1.5 - 2.5%,1,1,1,15
159,Cancelled,38,Female,Setswana,Single,5896,5896,0,0,0,31,31,Diploma,Admin Clerk,Northern Cape,9660,0.016,1.5 - 2.5%,1,1,0,6
160,Cancelled,52,Male,Zulu,Married,25000,19000,0,0,6000,15,15,Diploma,School Teacher,KwaZulu-Natal,0,0.008,0 - 1.5%,1,1,0,7
161,Cancelled,28,Male,Zulu,Married,5200,5200,0,0,0,31,1,No Matric,Mechanic,KwaZulu-Natal,4360,0.023,1.5 - 2.5%,1,1,0,1
162,Installed,37,Female,Setswana,Single,6930,6930,126,102,0,31,31,Diploma,Credit Manager,Gauteng,2087,0.014,0 - 1.5%,1,1,1,15
163,Installed,42,Male,Sepedi,Married,18000,18000,391,242,0,31,31,Matric,SAPS - Inspector,Gauteng,1818,0.014,0 - 1.5%,1,1,1,13
164,Installed,40,Female,Afrikaans,Married,50000,28400,639,251,21600,27,27,Diploma,Co Ordinator,Mpumalanga,1055,0.005,0 - 1.5%,1,1,1,15
165,Cancelled,37,Male,Xhosa,Divorced,13500,13500,0,0,0,25,25,Diploma,Health Inspector,Eastern Cape,5326,0.034,2.5 - 5%,1,1,0,4
166,Cancelled,48,Male,Zulu,Married,37000,21000,0,0,16000,31,31,Diploma,Police Officer,KwaZulu-Natal,0,0.006,0 - 1.5%,1,1,0,8
167,Installed,46,Female,Tsonga,Single,1000,1000,0,0,0,16,16,No Matric,Unemployed,Limpopo,1392,0.115,5% +,1,0,1,0
168,Installed,34,Female,Swati,Single,5600,5600,0,0,0,25,26,Certificate,Cash Clerk,Mpumalanga,1340,0.042,2.5 - 5%,1,0,1,0
169,Cancelled,49,Female,Zulu,Widowed,18400,12900,0,0,5500,15,31,Diploma,Teacher of Languages,KwaZulu-Natal,0,0.005,0 - 1.5%,1,1,0,2
170,Cancelled,43,Female,Xhosa,Single,16000,16000,0,0,0,31,1,Postgraduate,School Teacher,Eastern Cape,0,0.008,0 - 1.5%,1,1,0,3
171,Installed,50,Male,Venda,Married,17667,17667,0,0,0,22,22,Degree,Teacher,Limpopo,940,0.007,0 - 1.5%,1,1,1,2
172,Installed,41,Male,Sepedi,Married,24000,24000,0,0,0,22,22,Postgraduate,Teacher,Limpopo,748,0.014,0 - 1.5%,1,1,1,15
